Lô H?,Mã t?nh,Tr?m,??i tác thi công,TT ph? trách
7435,BGG,BGG3981,Royal,TTKV1
7435,BGG,BGG3991,Royal,TTKV1
7435,BGG,BGG3992,Royal,TTKV1
7435,BGG,BGG3994,Royal,TTKV1
7435,BGG,BGG5002,Royal,TTKV1
7435,BGG,BGG8003,Royal,TTKV1
7435,BGG,BGG8004,Royal,TTKV1
7435,BKN,BKN0005,CNS,TTKV1
7435,BKN,BKN0011,CNS,TTKV1
7435,BKN,BKN0014,CNS,TTKV1
7435,BKN,BKN0014-11,CNS,TTKV1
7435,BKN,BKN0015-11,CNS,TTKV1
7435,BKN,BKN0018,CNS,TTKV1
7435,BKN,BKN0018-11,CNS,TTKV1
7435,BKN,BKN0022,CNS,TTKV1
7435,BKN,BKN0025-11,CNS,TTKV1
7435,BKN,BKN0030-12,CNS,TTKV1
7435,BKN,BKN0035-11,CNS,TTKV1
7435,BKN,BKN0045,CNS,TTKV1
7435,BKN,BKN0047-11,CNS,TTKV1
7435,BKN,BKN0050,CNS,TTKV1
7435,BKN,BKN0057,CNS,TTKV1
7435,BKN,BKN0078,CNS,TTKV1
7435,BKN,BKN0105,CNS,TTKV1
7435,BKN,BKN0114,CNS,TTKV1
7435,BKN,BKN0116-11,CNS,TTKV1
7435,BKN,BKN0173,CNS,TTKV1
7435,BKN,BKN0174,CNS,TTKV1
7435,BKN,BKN0178,CNS,TTKV1
7435,BKN,BKN0179,CNS,TTKV1
7435,BKN,BKN0181,CNS,TTKV1
7435,BKN,BKN0193-11,CNS,TTKV1
7435,BKN,BKN0204,CNS,TTKV1
7435,BKN,BKN0210,CNS,TTKV1
7435,BKN,BKN0214-11,CNS,TTKV1
7435,BKN,BKN0217,CNS,TTKV1
7435,BKN,BKN0219,CNS,TTKV1
7435,BKN,BKN0219-11,CNS,TTKV1
7435,BKN,BKN0244,CNS,TTKV1
7435,BKN,BKN0245,CNS,TTKV1
7435,BKN,BKN0246,CNS,TTKV1
7435,BKN,BKN0248,CNS,TTKV1
7435,BKN,BKN0249,CNS,TTKV1
7435,BKN,BKN0253,CNS,TTKV1
7435,BKN,BKN0254-11,CNS,TTKV1
7435,BKN,BKN0257,CNS,TTKV1
7435,BKN,BKN0258,CNS,TTKV1
7435,BKN,BKN0261,CNS,TTKV1
7435,BKN,BKN0268,CNS,TTKV1
7435,BKN,BKN0271,CNS,TTKV1
7435,BKN,BKN0274,CNS,TTKV1
7435,BKN,BKN0275,CNS,TTKV1
7435,BKN,BKN0278,CNS,TTKV1
7435,BKN,BKN0281,CNS,TTKV1
7435,BKN,BKN0282,CNS,TTKV1
7435,BKN,BKN0293,CNS,TTKV1
7435,BKN,BKN0302,CNS,TTKV1
7435,BKN,BKN0308,CNS,TTKV1
7435,BKN,BKN0346,CNS,TTKV1
7435,BKN,BKN0347,CNS,TTKV1
7435,BNH,BNH0003,CNS,TTKV1
7435,BNH,BNH0005,CNS,TTKV1
7435,BNH,BNH0006,CNS,TTKV1
7435,BNH,BNH0007,CNS,TTKV1
7435,BNH,BNH0014,CNS,TTKV1
7435,BNH,BNH0020,CNS,TTKV1
7435,BNH,BNH0024,CNS,TTKV1
7435,BNH,BNH0026,CNS,TTKV1
7435,BNH,BNH0034,CNS,TTKV1
7435,BNH,BNH0035,CNS,TTKV1
7435,BNH,BNH0038,CNS,TTKV1
7435,BNH,BNH0042,CNS,TTKV1
7435,BNH,BNH0065,CNS,TTKV1
7435,BNH,BNH0072,CNS,TTKV1
7435,BNH,BNH0086,CNS,TTKV1
7435,BNH,BNH0106,CNS,TTKV1
7435,BNH,BNH0116,CNS,TTKV1
7435,BNH,BNH0127,CNS,TTKV1
7435,BNH,BNH0141,CNS,TTKV1
7435,BNH,BNH0142,CNS,TTKV1
7435,BNH,BNH0145,CNS,TTKV1
7435,BNH,BNH0146,CNS,TTKV1
7435,BNH,BNH0148,CNS,TTKV1
7435,BNH,BNH0149,CNS,TTKV1
7435,BNH,BNH0163,CNS,TTKV1
7435,BNH,BNH0184,CNS,TTKV1
7435,BNH,BNH0198,CNS,TTKV1
7435,BNH,BNH0199,CNS,TTKV1
7435,BNH,BNH0201,CNS,TTKV1
7435,BNH,BNH0205,CNS,TTKV1
7435,BNH,BNH0208,CNS,TTKV1
7435,BNH,BNH0215,CNS,TTKV1
